anio,edo,tipo,sexo,tasa
2e3,Aguascalientes,trans,Mujeres,54.8
2e3,Baja California,trans,Mujeres,63.9
2e3,Baja California Sur,trans,Mujeres,61.5
2e3,Campeche,trans,Mujeres,44.9
2e3,Coahuila,trans,Mujeres,51.7
2e3,Colima,trans,Mujeres,51
2e3,Chiapas,trans,Mujeres,98.2
2e3,Chihuahua,trans,Mujeres,63.2
2e3,Distrito Federal,trans,Mujeres,60.2
2e3,Durango,trans,Mujeres,40
2e3,Guanajuato,trans,Mujeres,72.7
2e3,Guerrero,trans,Mujeres,55.9
2e3,Hidalgo,trans,Mujeres,56.6
2e3,Jalisco,trans,Mujeres,64.4
2e3,México,trans,Mujeres,76.9
2e3,Michoacán,trans,Mujeres,49.7
2e3,Morelos,trans,Mujeres,58.3
2e3,Nayarit,trans,Mujeres,45.7
2e3,Nuevo León,trans,Mujeres,46.8
2e3,Oaxaca,trans,Mujeres,98
2e3,Puebla,trans,Mujeres,101.6
2e3,Querétaro,trans,Mujeres,70.3
2e3,Quintana Roo,trans,Mujeres,61.8
2e3,San Luis Potosí,trans,Mujeres,59.9
2e3,Sinaloa,trans,Mujeres,38.6
2e3,Sonora,trans,Mujeres,60.8
2e3,Tabasco,trans,Mujeres,55.4
2e3,Tamaulipas,trans,Mujeres,48.2
2e3,Tlaxcala,trans,Mujeres,71.2
2e3,Veracruz,trans,Mujeres,63.5
2e3,Yucatán,trans,Mujeres,66
2e3,Zacatecas,trans,Mujeres,52.4
2001,Aguascalientes,trans,Mujeres,53.2
2001,Baja California,trans,Mujeres,56.9
2001,Baja California Sur,trans,Mujeres,59.8
2001,Campeche,trans,Mujeres,45.5
2001,Coahuila,trans,Mujeres,58
2001,Colima,trans,Mujeres,53.9
2001,Chiapas,trans,Mujeres,106
2001,Chihuahua,trans,Mujeres,66.6
2001,Distrito Federal,trans,Mujeres,59.1
2001,Durango,trans,Mujeres,36.4
2001,Guanajuato,trans,Mujeres,61.7
2001,Guerrero,trans,Mujeres,56.8
2001,Hidalgo,trans,Mujeres,56.3
2001,Jalisco,trans,Mujeres,58.9
2001,México,trans,Mujeres,72.9
2001,Michoacán,trans,Mujeres,51.4
2001,Morelos,trans,Mujeres,59.6
2001,Nayarit,trans,Mujeres,52.8
2001,Nuevo León,trans,Mujeres,46.6
2001,Oaxaca,trans,Mujeres,93.5
2001,Puebla,trans,Mujeres,85.4
2001,Querétaro,trans,Mujeres,61.6
2001,Quintana Roo,trans,Mujeres,56.4
2001,San Luis Potosí,trans,Mujeres,58.2
