Cve_Ent,Ent,Cve_Mun,Mun,Población,Indice_rezago_social,Grado_rezago_social,Viviendas_sin_electricidad,Viviendas_sin_drenaje,Viviendas_sin_lavadora,Viviendas_sin_refrigerador,Viviendas_sin_excusado,Viviendas_sin_agua_entubada,Viviendas_piso_tierra,Pob_analfabeta,Pob_sin_servicios_salud
01,Aguascalientes,01001,Aguascalientes,"797,010",-1.55848,Muy bajo,0.33,0.96,15.13,6.39,0.83,1.54,1.29,2.58,22.39
01,Aguascalientes,01002,Asientos,"45,492",-1.01448,Muy bajo,2.53,8.46,26.99,20.83,8.70,3.38,2.80,5.50,13.77
01,Aguascalientes,01003,Calvillo,"54,136",-1.10194,Muy bajo,1.08,1.43,19.99,9.05,1.51,2.70,2.55,6.17,17.11
01,Aguascalientes,01004,Cosío,"15,042",-1.13314,Muy bajo,2.11,3.29,32.81,20.87,5.95,2.02,3.46,4.32,13.91
01,Aguascalientes,01005,Jesús María,"99,590",-1.29650,Muy bajo,1.19,1.68,18.91,9.61,2.00,2.64,2.48,3.74,22.33
01,Aguascalientes,01006,Pabellón de Arteaga,"41,862",-1.34386,Muy bajo,1.04,2.02,18.95,12.52,1.96,4.55,1.54,4.07,18.90
01,Aguascalientes,01007,Rincón de Romos,"49,156",-1.25519,Muy bajo,0.98,3.03,25.60,15.33,4.00,3.80,3.62,4.64,19.50
01,Aguascalientes,01008,San José de Gracia,"8,443",-1.09728,Muy bajo,2.02,9.34,31.37,19.69,10.72,5.04,1.49,3.42,9.53
01,Aguascalientes,01009,Tepezalá,"19,668",-1.03717,Muy bajo,1.66,4.66,28.27,19.23,5.80,2.45,2.43,5.85,15.45
01,Aguascalientes,01010,El Llano,"18,828",-0.88536,Muy bajo,3.56,8.64,31.78,22.00,9.68,4.62,2.62,5.74,17.44
01,Aguascalientes,01011,San Francisco de los Romo,"35,769",-1.30230,Muy bajo,0.62,0.92,20.22,10.91,1.37,1.67,1.45,4.72,18.56
02,Baja California,02001,Ensenada,"466,814",-1.06177,Muy bajo,2.61,15.56,24.53,14.89,3.27,9.69,3.52,4.73,23.60
02,Baja California,02002,Mexicali,"936,826",-1.54794,Muy bajo,0.77,6.63,13.62,4.22,1.58,2.17,2.26,2.29,23.13
02,Baja California,02003,Tecate,"101,079",-1.23352,Muy bajo,2.97,6.58,20.24,10.17,4.13,14.21,3.27,2.44,23.10
02,Baja California,02004,Tijuana,"1,559,683",-1.34560,Muy bajo,0.71,2.25,23.09,7.66,1.58,3.52,3.84,2.09,34.08
02,Baja California,02005,Playas de Rosarito,"90,668",-1.09396,Muy bajo,1.49,4.62,29.67,14.33,7.59,14.58,3.33,2.82,29.91
03,Baja California Sur,03001,Comondú,"70,816",-1.03934,Muy bajo,2.48,14.76,30.33,11.35,3.00,9.85,5.37,5.38,18.19
03,Baja California Sur,03002,Mulegé,"59,114",-0.79084,Muy bajo,4.01,15.50,35.31,21.94,6.48,9.70,2.86,5.82,16.94
03,Baja California Sur,03003,La Paz,"251,871",-1.46272,Muy bajo,2.04,3.14,25.82,6.69,1.27,6.44,2.82,2.33,21.57
03,Baja California Sur,03008,Los Cabos,"238,487",-1.02903,Muy bajo,3.67,2.90,38.12,14.00,2.58,18.59,9.51,2.86,26.86
03,Baja California Sur,03009,Loreto,"16,738",-0.83279,Muy bajo,10.00,7.84,33.05,20.89,6.35,11.88,8.62,3.30,23.17
04,Campeche,04001,Calkiní,"52,890",-0.44508,Bajo,2.03,34.39,39.80,39.17,23.36,9.61,3.27,12.88,18.28
04,Campeche,04002,Campeche,"259,005",-1.38408,Muy bajo,1.28,4.16,22.03,11.53,3.20,3.45,1.99,5.00,20.02
04,Campeche,04003,Carmen,"221,094",-1.06758,Muy bajo,1.85,5.07,21.57,13.94,2.54,25.91,4.64,5.41,24.28
04,Campeche,04004,Champotón,"83,021",-0.49785,Bajo,3.36,19.54,33.42,27.32,9.97,18.54,4.69,12.16,22.96
04,Campeche,04005,Hecelchakán,"28,306",-0.34684,Bajo,2.69,37.39,38.56,39.36,21.14,16.17,2.69,11.69,26.47
04,Campeche,04006,Hopelchén,"37,777",-0.05239,Bajo,5.37,32.09,39.14,45.42,17.64,10.01,4.57,11.86,20.44
04,Campeche,04007,Palizada,"8,352",-0.33717,Bajo,5.73,23.80,35.30,25.03,6.51,43.10,7.57,11.44,12.09
04,Campeche,04008,Tenabo,"9,736",-0.27312,Bajo,4.04,43.52,35.77,31.73,32.83,15.70,2.57,13.31,16.66
04,Campeche,04009,Escárcega,"54,184",-0.50073,Bajo,4.59,16.59,39.75,26.90,9.39,4.98,7.47,11.97,22.12
04,Campeche,04010,Calakmul,"26,882",0.53730,Medio,7.66,50.38,57.65,48.28,11.08,49.91,13.86,17.78,32.07
04,Campeche,04011,Candelaria,"41,194",0.43105,Medio,15.75,31.95,54.01,42.64,16.60,20.94,17.28,15.67,23.01
05,Coahuila,05001,Abasolo,"1,070",-1.17277,Muy bajo,0.83,6.63,17.13,3.87,0.83,3.59,0.00,3.87,37.29
05,Coahuila,05002,Acuña,"136,755",-1.36712,Muy bajo,0.85,3.11,22.08,6.07,1.16,3.51,1.62,2.68,22.61
05,Coahuila,05003,Allende,"22,675",-1.50702,Muy bajo,0.47,8.35,13.85,3.13,1.69,1.72,0.84,2.75,14.19
